scientificName,phylum,class,order,family,genus,target_group,Genus,FBname,Length,LTypeMaxM,DemersPelag,DepthRangeShallow,DepthRangeDeep,BodyShapeI,AnaCat,Importance,MainCatchingMethod
Ctenogobius stigmaticus,Chordata,Teleostei,Gobiiformes,Gobiidae,Ctenogobius,fish,Ctenogobius,Marked goby,8,TL,demersal,NA,NA,elongated,NA,commercial,NA
Echinorhinus brucus,Chordata,Elasmobranchii,Echinorhiniformes,Echinorhinidae,Echinorhinus,fish,Echinorhinus,Bramble shark,310,TL,bathydemersal,10,900,elongated,NA,minor commercial,trawls
Merluccius merluccius,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,fish,Merluccius,European hake,140,TL,demersal,18,1075,elongated,NA,highly commercial,seines
Bathytroctes michaelsarsi,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Bathytroctes,fish,Bathytroctes,Michael Sars smooth-head,37,SL,bathypelagic,2010,5057,elongated,NA,NA,NA
Microstomus kitt,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus,fish,Microstomus,Lemon sole,65,TL,demersal,10,200,short and / or deep,oceanodromous,commercial,seines
Oneirodes epithales,Chordata,Teleostei,Lophiiformes,Oneirodidae,Oneirodes,fish,Oneirodes,Nightmare dreamer,NA,NA,bathypelagic,0,1829,short and / or deep,NA,NA,NA
Monolene antillarum,Chordata,Teleostei,Pleuronectiformes,Bothidae,Monolene,fish,Monolene,Slim flounder,11.800000190734863,NG,demersal,NA,NA,fusiform / normal,NA,NA,NA
Stenotomus caprinus,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Stenotomus,fish,Stenotomus,Longspine porgy,30,TL,demersal,5,185,fusiform / normal,NA,minor commercial,trawls
Pholis ornata,Chordata,Teleostei,Perciformes,Pholidae,Pholis,fish,Pholis,Saddleback gunnel,30,TL,demersal,0,50,eel-like,NA,NA, 
Sphoeroides trichocephalus,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Sphoeroides,fish,Sphoeroides,Pygmy puffer,10.5,TL,demersal,NA,NA,fusiform / normal,NA,commercial,trawls
Alphestes afer,Chordata,Teleostei,Perciformes,Epinephelidae,Alphestes,fish,Alphestes,Mutton hamlet,33,TL,reef-associated,2,30,fusiform / normal,non-migratory,minor commercial,NA
Entomacrodus marmoratus,Chordata,Teleostei,Blenniiformes,Blenniidae,Entomacrodus,fish,Entomacrodus,Rockskipper,15.199999809265137,SL,demersal,0,1,elongated,NA,commercial,NA
