#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV113	species	Microtus montanus	Eukaryota	Chordata	Mammalia	Rodentia	Cricetidae	Microtus	Microtus montanus	lca
ASV114	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV115	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV116	species	Corvus pectoralis	Eukaryota	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus pectoralis	best hit
ASV117	species	Brosme brosme	Eukaryota	Chordata	Actinopteri	Gadiformes	Lotidae	Brosme	Brosme brosme	best hit
ASV118	species	Fundulus heteroclitus	Eukaryota	Chordata	Actinopteri	Cyprinodontiformes	Fundulidae	Fundulus	Fundulus heteroclitus	best hit
ASV119	species	Urophycis tenuis	Eukaryota	Chordata	Actinopteri	Gadiformes	Phycidae	Urophycis	Urophycis tenuis	best hit
ASV120	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV121	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV122	species	Balaenoptera physalus	Eukaryota	Chordata	Mammalia	Artiodactyla	Balaenopteridae	Balaenoptera	Balaenoptera physalus	best hit
ASV123	species	Citharichthys arctifrons	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Cyclopsettidae	Citharichthys	Citharichthys arctifrons	best hit
ASV124	species	Mallotus villosus	Eukaryota	Chordata	Actinopteri	Osmeriformes	Salangidae	Mallotus	Mallotus villosus	best hit
ASV125	species	Brevoortia tyrannus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Brevoortia	Brevoortia tyrannus	best hit
ASV126	species	Artediellus uncinatus	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Artediellus	Artediellus uncinatus	best hit
ASV127	species	Pholis gunnellus	Eukaryota	Chordata	Actinopteri	Perciformes	Pholidae	Pholis	Pholis gunnellus	best hit
ASV128	species	Salvelinus fontinalis x Salvelinus malma	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus fontinalis x Salvelinus malma	best hit
ASV129	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV130	species	uncultured Pseudoalteromonas sp.	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	uncultured Pseudoalteromonas sp.	best hit
ASV131	species	Lycodes vahlii	Eukaryota	Chordata	Actinopteri	Perciformes	Zoarcidae	Lycodes	Lycodes vahlii	best hit
ASV132	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV133	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV134	species	Phycis chesteri	Eukaryota	Chordata	Actinopteri	Gadiformes	Phycidae	Phycis	Phycis chesteri	best hit
